Lexie's opinion!,,class,label,description
,1312,academics.program.assoc.multidiscipline,CIP30ASSOC,Associate degree in Multi/Interdisciplinary Studies.
,1313,completion.title_iv.no_loan.completed_by.4yrs,NOLOAN_COMP_ORIG_YR4_RT,Percent of students who never received a federal loan at the institution and who completed in 4 years at original institution
,1314,completion.title_iv.high_inc.still_enrolled_by.8yrs,HI_INC_ENRL_ORIG_YR8_RT,"Percent of high-income (above $75,000 in nominal family income) students who were still enrolled at original institution within 8 years"
,1315,academics.program.assoc.ethnic_cultural_gender,CIP05ASSOC,"Associate degree in Area, Ethnic, Cultural, Gender, And Group Studies."
,1316,completion.title_iv.no_pell.transf_unknown_2yr_by.8yrs,NOPELL_UNKN_2YR_TRANS_YR8_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 2-year institution and whose status is unknown within 8 years
,1317,academics.program.certificate_lt_2_yr.agriculture,CIP01CERT2,"Certificate of at least one but less than two academic years in Agriculture, Agriculture Operations, And Related Sciences."
,1318,repayment.3_yr_repayment_suppressed.income.middle_income,MD_INC_RPY_3YR_RT_SUPP,"3-year repayment rate for middle-income (between $30,000 and $75,000 in nominal family income) students, suppressed for n=30"
,1319,completion.title_iv.female.transf_completed_2yr_by.3yrs,FEMALE_COMP_2YR_TRANS_YR3_RT,Percent of female students who transferred to a 2-year institution and completed within 3 years
,1320,aid.median_debt.number.income.0_30000,LO_INC_DEBT_N,"The number of students in the median debt low-income (less than $30,000 in nominal family income) students cohort"
,1321,academics.program.certificate_lt_1_yr.communication,CIP09CERT1,"Certificate of less than one academic year in Communication, Journalism, And Related Programs."
,1322,academics.program.certificate_lt_1_yr.education,CIP13CERT1,Certificate of less than one academic year in Education.
,1323,academics.program.certificate_lt_2_yr.communication,CIP09CERT2,"Certificate of at least one but less than two academic years in Communication, Journalism, And Related Programs."
,1324,repayment.7_yr_repayment.income.30000_75000,MD_INC_RPY_7YR_RT,"Seven-year repayment rate by family income ($30,000-75,000)"
,1325,completion.title_iv.pell_recip.transf_completed_2yr_by.4yrs,PELL_COMP_2YR_TRANS_YR4_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 2-year institution and completed within 4 years
,1326,repayment.5_yr_repayment.dependent_students,DEP_RPY_5YR_N,Number of students in the 5-year repayment rate of dependent students cohort
,1327,completion.title_iv.mid_inc.withdrawn_by.6yrs,MD_INC_WDRAW_ORIG_YR6_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students withdrawn from original institution within 6 years"
,1328,completion.title_iv.loan_recip.died_by.3yrs,LOAN_DEATH_YR3_RT,Percent of students who received a federal loan at the institution and who died within 3 years at original institution
,1329,earnings.10_yrs_after_entry.working_not_enrolled.dependent_students_lowest_tercile,count_wne_indep0_inc1_p10,Number of dependent students working and not enrolled 10 years after entry in the lowest income tercile
,1330,academics.program.certificate_lt_4_yr.health,CIP51CERT4,Award of more than two but less than four academic years in Health Professions And Related Programs.
,1331,completion.title_iv.unknown_by.8yrs,UNKN_ORIG_YR8_RT,Percent with status unknown within 8 years at original institution
,1332,completion.title_iv.low_inc.transf_completed_2yr_by.6yrs,LO_INC_COMP_2YR_TRANS_YR6_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 2-year institution and completed within 6 years"
,1333,cost.net_price.public.by_income_level.30001-75000,NPT4_3075_PUB,"Average net price for $30,001-$75,000 family income (public institutions)"
,1334,academics.program.certificate_lt_2_yr.military,CIP29CERT2,Certificate of at least one but less than two academic years in Military Technologies And Applied Sciences.
,1335,completion.title_iv.depend.transf_unknown_4yr_by.8yrs,DEP_UNKN_4YR_TRANS_YR8_RT,Percent of dependent students who transferred to a 4-year institution and whose status is unknown within 8 years
,1336,academics.program.assoc.precision_production,CIP48ASSOC,Associate degree in Precision Production.
,1337,completion.title_iv.male.died_by.8yrs,MALE_DEATH_YR8_RT,Percent of male students who died within 8 years at original institution
,1338,completion.title_iv.male.transf_withdrawn_2yr_by.6yrs,MALE_WDRAW_2YR_TRANS_YR6_RT,Percent of male students who transferred to a 2-year institution and withdrew within 6 years
,1339,academics.program.bachelors.humanities,CIP24BACHL,"Bachelor's degree in Liberal Arts And Sciences, General Studies And Humanities."
,1340,academics.program.assoc.theology_religious_vocation,CIP39ASSOC,Associate degree in Theology And Religious Vocations.
,1341,repayment.repayment_cohort.3_year_declining_balance,RPY_3YR_RT,"Fraction of repayment cohort that has not defaulted, and with loan balances that have declined three years since entering repayment, excluding enrolled and military deferment from calculation.  (rolling averages)"
,1342,completion.title_iv.male.still_enrolled_by.2yrs,MALE_ENRL_ORIG_YR2_RT,Percent of male students who were still enrolled at original institution within 2 years 
,1343,completion.title_iv.not_first_gen.completed_by.2yrs,NOT1STGEN_COMP_ORIG_YR2_RT,Percent of not-first-generation students who completed within 2 years at original institution
,1344,completion.title_iv.not_first_gen.transf_unknown_4yr_by.4yrs,NOT1STGEN_UNKN_4YR_TRANS_YR4_RT,Percent of not-first-generation students who transferred to a 4-year institution and whose status is unknown within 4 years
,1345,completion.completion_rate_l4yr_150_nonresident.alien,C150_L4_NRA,"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion/6 years) for non-resident alien students"
,1346,academics.program.assoc.agriculture,CIP01ASSOC,"Associate degree in Agriculture, Agriculture Operations, And Related Sciences."
,1347,repayment.3_yr_repayment_suppressed.independent_students,IND_RPY_3YR_RT_SUPP,"3-year repayment rate for independent students, suppressed for n=30"
,1348,completion.title_iv.first_gen.still_enrolled_by.6yrs,FIRSTGEN_ENRL_ORIG_YR6_RT,Percent of first-generation students who were still enrolled at original institution within 6 years
,1349,completion.title_iv.male.transf_completed_2yr_by.4yrs,MALE_COMP_2YR_TRANS_YR4_RT,Percent of male students who transferred to a 2-year institution and completed within 4 years
,1350,completion.title_iv.pell_recip.transf_completed_2yr_by.2yrs,PELL_COMP_2YR_TRANS_YR2_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 2-year institution and completed within 2 years
,1351,completion.title_iv.not_first_gen.died_by.6yrs,NOT1STGEN_DEATH_YR6_RT,Percent of not-first-generation students who died within 6 years at original institution
,1352,completion.title_iv.male.withdrawn_by.3yrs,MALE_WDRAW_ORIG_YR3_RT,Percent of male students withdrawn from original institution within 3 years
,1353,completion.title_iv.depend.transf_still_enrolled_2yr_by.8yrs,DEP_ENRL_2YR_TRANS_YR8_RT,Percent of dependent students who transferred to a 2-year institution and were still enrolled within 8 years
,1354,completion.title_iv.mid_inc.died_by.2yrs,MD_INC_DEATH_YR2_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who died within 2 years at original institution"
,1355,cost.net_price.other_acad_calendar.by_income_level.48001-75000,NPT43_OTHER,"Average net price for $48,001-$75,000 family income (other academic calendar institutions)"
,1356,academics.program.bachelors.language,CIP16BACHL,"Bachelor's degree in Foreign Languages, Literatures, And Linguistics."
,1357,completion.title_iv.loan_recip.transf_withdrawn_4yr_by.3yrs,LOAN_WDRAW_4YR_TRANS_YR3_RT,Percent of students who received a federal loan at the institution and who transferred to a 4-year institution and withdrew within 3 years
,1358,completion.title_iv.high_inc.transf_completed_4yr_by.3yrs,HI_INC_COMP_4YR_TRANS_YR3_RT,"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 4-year institution and completed within 3 years"
,1359,completion.title_iv.first_gen.withdrawn_by.2yrs,FIRSTGEN_WDRAW_ORIG_YR2_RT,Percent of first-generation students withdrawn from original institution within 2 years 
,1360,completion.title_iv.low_inc.transf_still_enrolled_4yr_by.3yrs,LO_INC_ENRL_4YR_TRANS_YR3_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 4-year institution and were still enrolled within 3 years"
,1361,ope6_id,opeid6,6-digit OPE ID for institution
,1362,earnings.10_yrs_after_entry.male_students,count_wne_male1_p10,Number of male students working and not enrolled 10 years after entry
,1363,completion.title_iv.low_inc.transf_completed_2yr_by.4yrs,LO_INC_COMP_2YR_TRANS_YR4_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 2-year institution and completed within 4 years"
,1364,completion.title_iv.first_gen.transf_completed_2yr_by.8yrs,FIRSTGEN_COMP_2YR_TRANS_YR8_RT,Percent of first-generation students who transferred to a 2-year institution and completed within 8 years
,1365,completion.title_iv.mid_inc.unknown_by.6yrs,MD_INC_UNKN_ORIG_YR6_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students with status unknown within 6 years at original institution"
,1366,completion.completion_rate_l4yr_150_asian,C150_L4_ASIAN,"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion/6 years) for Asian students"
,1367,academics.program.assoc.humanities,CIP24ASSOC,"Associate degree in Liberal Arts And Sciences, General Studies And Humanities."
,1368,earnings.6_yrs_after_entry.working_not_enrolled.earnings_percentile.90,pct90_earn_wne_p6,90th percentile of earnings of students working and not enrolled 6 years after entry
,1369,academics.program.bachelors.transportation,CIP49BACHL,Bachelor's degree in Transportation And Materials Moving.
,1370,completion.title_iv.first_gen.transf_withdrawn_2yr_by.3yrs,FIRSTGEN_WDRAW_2YR_TRANS_YR3_RT,Percent of first-generation students who transferred to a 2-year institution and withdrew within 3 years
,1371,completion.title_iv.depend.transf_completed_4yr_by.6yrs,DEP_COMP_4YR_TRANS_YR6_RT,Percent of dependent students who transferred to a 4-year institution and completed within 6 years
,1372,academics.program.certificate_lt_2_yr.biological,CIP26CERT2,Certificate of at least one but less than two academic years in Biological And Biomedical Sciences.
,1373,completion.title_iv.independ.transf_unknown_2yr_by.4yrs,IND_UNKN_2YR_TRANS_YR4_RT,Percent of independent students who transferred to a 2-year institution and whose status is unknown within 4 years
,1374,completion.title_iv.female.transf_completed_2yr_by.2yrs,FEMALE_COMP_2YR_TRANS_YR2_RT,Percent of female students who transferred to a 2-year institution and completed within 2 years
,1375,academics.program.assoc.biological,CIP26ASSOC,Associate degree in Biological And Biomedical Sciences.
,1376,cost.title_iv.private.by_income_level.75001-110000,NUM44_PRIV,"Number of Title IV students, $75,001-$110,000 family income (private for-profit and nonprofit institutions)"
,1377,repayment.3_yr_repayment.no_pell_grant,NOPELL_RPY_3YR_N,Number of students in the 3-year repayment rate of no-Pell students cohort
,1378,completion.title_iv.male.transf_still_enrolled_2yr_by.8yrs,MALE_ENRL_2YR_TRANS_YR8_RT,Percent of male students who transferred to a 2-year institution and were still enrolled within 8 years
,1379,completion.2_yr_completion.female_students,FEMALE_YR2_N,Number of female students in overall 2-year completion cohort
,1380,completion.title_iv.no_loan.still_enrolled_by.3yrs,NOLOAN_ENRL_ORIG_YR3_RT,Percent of students who never received a federal loan at the institution and who were still enrolled at original institution within 3 years
,1381,cost.title_iv.academic_year,NUM4_OTHER,Number of Title IV students (other academic calendar institutions)
,1382,academics.program.assoc.physical_science,CIP40ASSOC,Associate degree in Physical Sciences.
,1383,completion.title_iv.no_pell.withdrawn_by.8yrs,NOPELL_WDRAW_ORIG_YR8_RT,Percent of students who never received a Pell Grant at the institution and withdrew from original institution within 8 years
,1384,completion.title_iv.high_inc.transf_withdrawn_4yr_by.2yrs,HI_INC_WDRAW_4YR_TRANS_YR2_RT,"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 4-year institution and withdrew within 2 years "
,1385,school.minority_serving.tribal,TRIBAL,Flag for tribal college and university
,1386,completion.title_iv.loan_recip.transf_still_enrolled_4yr_by.4yrs,LOAN_ENRL_4YR_TRANS_YR4_RT,Percent of students who received a federal loan at the institution and who transferred to a 4-year institution and were still enrolled within 4 years
,1387,completion.title_iv.depend.died_by.6yrs,DEP_DEATH_YR6_RT,Percent of dependent students who died within 6 years at original institution
,1388,completion.title_iv.loan_recip.withdrawn_by.6yrs,LOAN_WDRAW_ORIG_YR6_RT,Percent of students who received a federal loan at the institution and withdrew from original institution within 6 years
,1389,earnings.8_yrs_after_entry.median_earnings,md_earn_wne_p8,Median earnings of students working and not enrolled 8 years after entry
,1390,completion.title_iv.male.withdrawn_by.8yrs,MALE_WDRAW_ORIG_YR8_RT,Percent of male students withdrawn from original institution within 8 years
,1391,repayment.1_yr_repayment.income.greater_than_75000,HI_INC_RPY_1YR_RT,"One-year repayment rate by family income ($75,000+)"
,1392,completion.rate_suppressed.lt_four_year,C200_L4_POOLED_SUPP,"200% completion rate for less-than-four-year institutions, pooled in two-year rolling averages and suppressed for small n size.  For two year schools, students are considered to have graduated ""on time"" if they graduate within 4 years."
,1393,completion.completion_rate_l4yr_150_white,C150_L4_WHITE,"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion/6 years) for white students"
,1394,student.family_income.independent_students,IND_INC_N,Number of students in the family income independent students cohort
,1395,completion.title_iv.first_gen.withdrawn_by.8yrs,FIRSTGEN_WDRAW_ORIG_YR8_RT,Percent of first-generation students withdrawn from original institution within 8 years
,1396,repayment.3_yr_repayment.non_first_generation_students,NOTFIRSTGEN_RPY_3YR_N,Number of students in the 3-year repayment rate of not-first-generation students cohort
,1397,completion.title_iv.female.transf_unknown_2yr_by.4yrs,FEMALE_UNKN_2YR_TRANS_YR4_RT,Percent of female students who transferred to a 2-year institution and whose status is unknown within 4 years
,1398,completion.3_yr_completion.low_income,LO_INC_YR3_N,"Number of low-income (less than $30,000 in nominal family income) students in overall 3-year completion cohort"
,1399,academics.program.certificate_lt_1_yr.library,CIP25CERT1,Certificate of less than one academic year in Library Science.
,1400,completion.4_yr_completion.first_generation_students,FIRSTGEN_YR4_N,Number of first-generation students in overall 4-year completion cohort
,1401,completion.title_iv.loan_recip.transf_completed_4yr_by.8yrs,LOAN_COMP_4YR_TRANS_YR8_RT,Percent of students who received a federal loan at the institution and who transferred to a 4-year institution and completed within 8 years
,1402,completion.2_yr_completion.independent_students,IND_YR2_N,Number of independent students in overall 2-year completion cohort
,1403,student.demographics.race_ethnicity.hispanic_prior_2009,UGDS_HISPOld,Total share of enrollment of undergraduate degree-seeking students who are Hispanic
,1404,completion.title_iv.pell_recip.transf_completed_4yr_by.2yrs,PELL_COMP_4YR_TRANS_YR2_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 4-year institution and completed within 2 years
,1405,completion.title_iv.not_first_gen.transf_still_enrolled_4yr_by.8yrs,NOT1STGEN_ENRL_4YR_TRANS_YR8_RT,Percent of not-first-generation students who transferred to a 4-year institution and were still enrolled within 8 years
,1406,completion.completion_rate_4yr_150_hispanic,C150_4_HISP,"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion/6 years) for Hispanic students"
,1407,completion.completion_rate_4yr_150_race.unknown,C150_4_UNKN,"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion/6 years) for students whose race is unknown"
,1408,completion.title_iv.pell_recip.transf_still_enrolled_2yr_by.2yrs,PELL_ENRL_2YR_TRANS_YR2_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 2-year institution and were still enrolled within 2 years
,1409,completion.title_iv.independ.transf_withdrawn_2yr_by.2yrs,IND_WDRAW_2YR_TRANS_YR2_RT,Percent of independent students who transferred to a 2-year institution and withdrew within 2 years 
,1410,completion.title_iv.female.transf_still_enrolled_2yr_by.4yrs,FEMALE_ENRL_2YR_TRANS_YR4_RT,Percent of female students who transferred to a 2-year institution and were still enrolled within 4 years
,1411,completion.title_iv.loan_recip.died_by.4yrs,LOAN_DEATH_YR4_RT,Percent of students who received a federal loan at the institution and who died within 4 years at original institution
,1412,completion.title_iv.high_inc.transf_unknown_2yr_by.3yrs,HI_INC_UNKN_2YR_TRANS_YR3_RT,"Percent of high-income (above $75,000 in nominal family income) students who transferred to a 2-year institution and whose status is unknown within 3 years"
,1413,completion.title_iv.first_gen.unknown_by.4yrs,FIRSTGEN_UNKN_ORIG_YR4_RT,Percent of first-generation students with status unknown within 4 years at original institution
,1414,repayment.repayment_cohort.5_year_declining_balance,RPY_5YR_RT,"Fraction of repayment cohort that has not defaulted, and with loan balances that have declined five years since entering repayment, excluding enrolled and military deferment from calculation.  (rolling averages)"
,1415,aid.median_debt.income.greater_than_75000,HI_INC_DEBT_MDN,"The median debt for students with family income $75,001+"
,1416,earnings.10_yrs_after_entry.mean_earnings.highest_tercile,mn_earn_wne_inc3_p10,Mean earnings of students working and not enrolled 10 years after entry in the highest income tercile
,1417,completion.title_iv.transf_completed_4yr_by.4yrs,COMP_4YR_TRANS_YR4_RT,Percent who transferred to a 4-year institution and completed within 4 years
,1418,completion.title_iv.not_first_gen.transf_withdrawn_4yr_by.3yrs,NOT1STGEN_WDRAW_4YR_TRANS_YR3_RT,Percent of not-first-generation students who transferred to a 4-year institution and withdrew within 3 years
,1419,completion.title_iv.mid_inc.transf_still_enrolled_2yr_by.2yrs,MD_INC_ENRL_2YR_TRANS_YR2_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 2-year institution and were still enrolled within 2 years"
,1420,school.tuition_revenue_per_fte,TUITFTE,Net tuition revenue per full-time equivalent student
,1421,completion.title_iv.mid_inc.transf_still_enrolled_4yr_by.2yrs,MD_INC_ENRL_4YR_TRANS_YR2_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 4-year institution and were still enrolled within 2 years "
,1422,academics.program.certificate_lt_4_yr.security_law_enforcement,CIP43CERT4,"Award of more than two but less than four academic years in Homeland Security, Law Enforcement, Firefighting And Related Protective Services."
,1423,completion.title_iv.high_inc.died_by.3yrs,HI_INC_DEATH_YR3_RT,"Percent of high-income (above $75,000 in nominal family income) students who died within 3 years at original institution"
,1424,completion.title_iv.independ.transf_still_enrolled_2yr_by.4yrs,IND_ENRL_2YR_TRANS_YR4_RT,Percent of independent students who transferred to a 2-year institution and were still enrolled within 4 years
,1425,completion.title_iv.no_pell.transf_still_enrolled_2yr_by.8yrs,NOPELL_ENRL_2YR_TRANS_YR8_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 2-year institution and were still enrolled within 8 years
,1426,completion.title_iv.depend.transf_unknown_4yr_by.6yrs,DEP_UNKN_4YR_TRANS_YR6_RT,Percent of dependent students who transferred to a 4-year institution and whose status is unknown within 6 years
,1427,cost.net_price.program_reporter.by_income_level.110001-plus,NPT45_PROG,"Average net price for $110,000+ family income (program-year institutions)"
,1428,completion.8_yr_completion.no_first_generation_students,NOT1STGEN_YR8_N,Number of not-first-generation students in overall 8-year completion cohort
,1429,completion.title_iv.transf_unknown_4yr_by.6yrs,UNKN_4YR_TRANS_YR6_RT,Percent who transferred to a 4-year institution and whose status is unknown within 6 years
,1430,completion.completion_rate_less_than_4yr_150nt_pooled,C150_L4_POOLED,"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion), pooled for two year rolling averages"
,1431,completion.title_iv.pell_recip.withdrawn_by.2yrs,PELL_WDRAW_ORIG_YR2_RT,Percent of students who received a Pell Grant at the institution and withdrew from original institution within 2 years 
,1432,school.men_only,MENONLY,Flag for men-only college
,1433,completion.title_iv.pell_recip.still_enrolled_by.4yrs,PELL_ENRL_ORIG_YR4_RT,Percent of students who received a Pell Grant at the institution and who were still enrolled at original institution within 4 years
,1434,completion.title_iv.low_inc.transf_still_enrolled_2yr_by.6yrs,LO_INC_ENRL_2YR_TRANS_YR6_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 2-year institution and were still enrolled within 6 years"
,1435,completion.title_iv.mid_inc.transf_completed_2yr_by.3yrs,MD_INC_COMP_2YR_TRANS_YR3_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 2-year institution and completed within 3 years"
,1436,completion.title_iv.low_inc.transf_completed_2yr_by.2yrs,LO_INC_COMP_2YR_TRANS_YR2_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 2-year institution and completed within 2 years"
,1437,cost.net_price.other_acad_calendar.by_income_level.0-30000,NPT41_OTHER,"Average net price for $0-$30,000 family income (other academic calendar institutions)"
,1438,student.demographics.share_professional_degree_age25.home_ZIP,pct_grad_prof,"Percent of the population from students' zip codes over 25 with a professional degree, via Census data"
,1439,completion.title_iv.no_loan.completed_by.3yrs,NOLOAN_COMP_ORIG_YR3_RT,Percent of students who never received a federal loan at the institution and who completed in 3 years at original institution
,1440,academics.program.certificate_lt_2_yr.science_technology,CIP41CERT2,Certificate of at least one but less than two academic years in Science Technologies/Technicians.
,1441,completion.3_yr_completion.male_students,MALE_YR3_N,Number of male students in overall 3-year completion cohort
,1442,completion.title_iv.first_gen.died_by.3yrs,FIRSTGEN_DEATH_YR3_RT,Percent of first-generation students who died within 3 years at original institution
,1443,completion.completion_rate_4yr_150_nhpi,C150_4_NHPI,"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion/6 years) for Native Hawaiian/Pacific Islander students"
,1444,completion.title_iv.independ.transf_unknown_4yr_by.3yrs,IND_UNKN_4YR_TRANS_YR3_RT,Percent of independent students who transferred to a 4-year institution and whose status is unknown within 3 years
,1445,completion.title_iv.male.transf_completed_4yr_by.6yrs,MALE_COMP_4YR_TRANS_YR6_RT,Percent of male students who transferred to a 4-year institution and completed within 6 years
,1446,completion.title_iv.loan_recip.transf_still_enrolled_2yr_by.6yrs,LOAN_ENRL_2YR_TRANS_YR6_RT,Percent of students who received a federal loan at the institution and who transferred to a 2-year institution and were still enrolled within 6 years
,1447,completion.title_iv.depend.transf_unknown_4yr_by.3yrs,DEP_UNKN_4YR_TRANS_YR3_RT,Percent of dependent students who transferred to a 4-year institution and whose status is unknown within 3 years
,1448,aid.median_debt.pell_grant,PELL_DEBT_MDN,The median debt for Pell students
,1449,earnings.6_yrs_after_entry.mean_earnings.highest_tercile,mn_earn_wne_inc3_p6,Mean earnings of students working and not enrolled 6 years after entry in the highest income tercile
,1450,completion.title_iv.loan_recip.still_enrolled_by.8yrs,LOAN_ENRL_ORIG_YR8_RT,Percent of students who received a federal loan at the institution and who were still enrolled at original institution within 8 years
,1451,academics.program.certificate_lt_2_yr.visual_performing,CIP50CERT2,Certificate of at least one but less than two academic years in Visual And Performing Arts.
,1452,earnings.6_yrs_after_entry.median,md_earn_wne_p6,Median earnings of students working and not enrolled 6 years after entry
,1453,academics.program.certificate_lt_4_yr.family_consumer_science,CIP19CERT4,Award of more than two but less than four academic years in Family And Consumer Sciences/Human Sciences.
,1454,completion.title_iv.pell_recip.transf_unknown_2yr_by.4yrs,PELL_UNKN_2YR_TRANS_YR4_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 2-year institution and whose status is unknown within 4 years
,1455,completion.completion_rate_4yr_150_black_pre2010,C150_4_BLACKNH,"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion/6 years) for black students"
,1456,completion.title_iv.no_pell.transf_still_enrolled_2yr_by.3yrs,NOPELL_ENRL_2YR_TRANS_YR3_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 2-year institution and were still enrolled within 3 years
,1457,completion.title_iv.mid_inc.transf_unknown_2yr_by.4yrs,MD_INC_UNKN_2YR_TRANS_YR4_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 2-year institution and whose status is unknown within 4 years"
,1458,completion.title_iv.pell_recip.completed_by.6yrs,PELL_COMP_ORIG_YR6_RT,Percent of students who received a Pell Grant at the institution and who completed in 6 years at original institution
,1459,repayment.7_yr_repayment.first_generation_students,FIRSTGEN_RPY_7YR_N,Number of students in the 7-year repayment rate of first-generation students cohort
,1460,completion.title_iv.low_inc.completed_by.4yrs,LO_INC_COMP_ORIG_YR4_RT,"Percent of low-income (less than $30,000 in nominal family income) students who completed within 4 years at original institution"
,1461,location.lat,LATITUDE,Latitude
,1462,completion.title_iv.not_first_gen.unknown_by.2yrs,NOT1STGEN_UNKN_ORIG_YR2_RT,Percent of not-first-generation students with status unknown within 2 years at original institution
,1463,earnings.9_yrs_after_entry.mean_earnings,mn_earn_wne_p9,Mean earnings of students working and not enrolled 9 years after entry
,1464,cost.tuition.program_year,TUITIONFEE_PROG,Tuition and fees for program-year institutions
,1465,academics.program_percentage.parks_recreation_fitness,PCIP31,"Percentage of degrees awarded in Parks, Recreation, Leisure, And Fitness Studies."
,1466,earnings.10_yrs_after_entry.independent_students,count_wne_indep1_p10,Number of independent students working and not enrolled 10 years after entry
,1467,completion.title_iv.mid_inc.transf_withdrawn_4yr_by.6yrs,MD_INC_WDRAW_4YR_TRANS_YR6_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who transferred to a 4-year institution and withdrew within 6 years"
,1468,completion.title_iv.pell_recip.transf_completed_4yr_by.3yrs,PELL_COMP_4YR_TRANS_YR3_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 4-year institution and completed within 3 years
,1469,completion.title_iv.no_loan.transf_withdrawn_2yr_by.8yrs,NOLOAN_WDRAW_2YR_TRANS_YR8_RT,Percent of students who never received a federal loan at the institution and who transferred to a 2-year institution and withdrew within 8 years
,1470,repayment.5_yr_repayment.middle_income,MD_INC_RPY_5YR_N,"Number of students in the 5-year repayment rate of middle-income (between $30,000 and $75,000 in nominal family income) students cohort"
,1471,earnings.10_yrs_after_entry.median,md_earn_wne_p10,Median earnings of students working and not enrolled 10 years after entry
,1472,completion.title_iv.male.transf_still_enrolled_4yr_by.4yrs,MALE_ENRL_4YR_TRANS_YR4_RT,Percent of male students who transferred to a 4-year institution and were still enrolled within 4 years
,1473,student.demographics.share_asian.home_ZIP,pct_asian,"Percent of the population from students' zip codes that is Asian, via Census data"
,1474,academics.program_percentage.history,PCIP54,Percentage of degrees awarded in History.
,1475,completion.title_iv.first_gen.completed_by.2yrs,FIRSTGEN_COMP_ORIG_YR2_RT,Percent of first-generation students who completed within 2 years at original institution
,1476,academics.program.certificate_lt_1_yr.theology_religious_vocation,CIP39CERT1,Certificate of less than one academic year in Theology And Religious Vocations.
,1477,completion.title_iv.loan_recip.transf_withdrawn_2yr_by.2yrs,LOAN_WDRAW_2YR_TRANS_YR2_RT,Percent of students who received a federal loan at the institution and who transferred to a 2-year institution and withdrew within 2 years 
,1478,completion.title_iv.independ.unknown_by.2yrs,IND_UNKN_ORIG_YR2_RT,Percent of independent students with status unknown within 2 years at original institution
,1479,school.degrees_awarded.highest,HIGHDEG,"Highest degree awarded
0        Non-degree-granting
1        Certificate degree
2        Associate degree
3        Bachelor's degree
4        Graduate degree"
,1480,completion.title_iv.female.transf_unknown_4yr_by.4yrs,FEMALE_UNKN_4YR_TRANS_YR4_RT,Percent of female students who transferred to a 4-year institution and whose status is unknown within 4 years
,1481,completion.title_iv.first_gen.transf_unknown_4yr_by.2yrs,FIRSTGEN_UNKN_4YR_TRANS_YR2_RT,Percent of first-generation students who transferred to a 4-year institution and whose status is unknown within 2 years
,1482,completion.title_iv.pell_recip.transf_unknown_4yr_by.6yrs,PELL_UNKN_4YR_TRANS_YR6_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 4-year institution and whose status is unknown within 6 years
,1483,completion.title_iv.not_first_gen.transf_still_enrolled_2yr_by.4yrs,NOT1STGEN_ENRL_2YR_TRANS_YR4_RT,Percent of not-first-generation students who transferred to a 2-year institution and were still enrolled within 4 years
,1484,student.share_dependent_lowincome.0_300000,IND_INC_PCT_LO,"Percentage of students who are financially dependent and have family incomes between $0-30,000"
,1485,completion.title_iv.female.completed_by.2yrs,FEMALE_COMP_ORIG_YR2_RT,Percent of female students who completed within 2 years at original institution
,1486,academics.program.certificate_lt_4_yr.social_science,CIP45CERT4,Award of more than two but less than four academic years in Social Sciences.
,1487,completion.title_iv.female.unknown_by.3yrs,FEMALE_UNKN_ORIG_YR3_RT,Percent of female students with status unknown within 3 years at original institution
,1488,completion.title_iv.loan_recip.transf_withdrawn_4yr_by.6yrs,LOAN_WDRAW_4YR_TRANS_YR6_RT,Percent of students who received a federal loan at the institution and who transferred to a 4-year institution and withdrew within 6 years
